"season","training.date","athlete","tl"
"Fall 2017","2017-09-22","Nicole Tipton",124
"Fall 2017","2017-09-22","Marshelle Edwards",868
"Fall 2017","2017-09-22","Cinoi Slovonsky",372
"Fall 2017","2017-09-22","Mariana Lewis",620
"Fall 2017","2017-09-23","Shajee'a al-Amiri",1855
"Fall 2017","2017-09-23","Brittany Valdez",909
"Fall 2017","2017-09-23","Urja Chaudhry",1515
"Fall 2017","2017-09-23","Mariana Lewis",1116
"Fall 2017","2017-09-23","Nicole Tipton",303
"Fall 2017","2017-09-23","Marshelle Edwards",2424
"Fall 2017","2017-09-23","Cinoi Slovonsky",1345
"Fall 2017","2017-09-23","Rhiannon Garcia",909
"Fall 2017","2017-09-23","Kayla Mix",303
"Fall 2017","2017-09-24","Shajee'a al-Amiri",0
"Fall 2017","2017-09-24","Brittany Valdez",0
"Fall 2017","2017-09-24","Urja Chaudhry",0
"Fall 2017","2017-09-24","Rhiannon Garcia",0
"Fall 2017","2017-09-24","Nicole Tipton",0
"Fall 2017","2017-09-24","Marshelle Edwards",0
"Fall 2017","2017-09-24","Cinoi Slovonsky",0
"Fall 2017","2017-09-24","Kayla Mix",0
"Fall 2017","2017-09-24","Mariana Lewis",0
"Fall 2017","2017-09-25","Brittany Valdez",461
"Fall 2017","2017-09-25","Urja Chaudhry",524
"Fall 2017","2017-09-25","Mariana Lewis",524
"Fall 2017","2017-09-25","Nicole Tipton",325
"Fall 2017","2017-09-25","Marshelle Edwards",524
"Fall 2017","2017-09-25","Cinoi Slovonsky",388
"Fall 2017","2017-09-25","Rhiannon Garcia",393
"Fall 2017","2017-09-25","Shajee'a al-Amiri",325
"Fall 2017","2017-09-25","Kayla Mix",393
"Fall 2017","2017-09-26","Kayla Mix",575
"Fall 2017","2017-09-26","Brittany Valdez",460
"Fall 2017","2017-09-26","Shajee'a al-Amiri",460
"Fall 2017","2017-09-26","Urja Chaudhry",460
"Fall 2017","2017-09-26","Nicole Tipton",115
"Fall 2017","2017-09-26","Marshelle Edwards",690
"Fall 2017","2017-09-26","Rhiannon Garcia",345
"Fall 2017","2017-09-26","Cinoi Slovonsky",460
"Fall 2017","2017-09-26","Mariana Lewis",460
"Fall 2017","2017-09-27","Brittany Valdez",826
"Fall 2017","2017-09-27","Urja Chaudhry",472
"Fall 2017","2017-09-27","Mariana Lewis",708
"Fall 2017","2017-09-27","Shajee'a al-Amiri",944
"Fall 2017","2017-09-27","Nicole Tipton",118
"Fall 2017","2017-09-27","Marshelle Edwards",944
"Fall 2017","2017-09-27","Cinoi Slovonsky",590
"Fall 2017","2017-09-27","Rhiannon Garcia",472
"Fall 2017","2017-09-27","Kayla Mix",708
"Fall 2017","2017-09-28","Kayla Mix",994
"Fall 2017","2017-09-28","Brittany Valdez",426
"Fall 2017","2017-09-28","Shajee'a al-Amiri",568
"Fall 2017","2017-09-28","Urja Chaudhry",568
"Fall 2017","2017-09-28","Nicole Tipton",142
"Fall 2017","2017-09-28","Marshelle Edwards",568
"Fall 2017","2017-09-28","Rhiannon Garcia",710
"Fall 2017","2017-09-28","Mariana Lewis",142
"Fall 2017","2017-09-28","Cinoi Slovonsky",710
"Fall 2017","2017-09-29","Rhiannon Garcia",0
"Fall 2017","2017-09-29","Urja Chaudhry",0
"Fall 2017","2017-09-29","Shajee'a al-Amiri",0
"Fall 2017","2017-09-29","Kayla Mix",0
"Fall 2017","2017-09-29","Brittany Valdez",0
"Fall 2017","2017-09-29","Nicole Tipton",0
"Fall 2017","2017-09-29","Cinoi Slovonsky",0
"Fall 2017","2017-09-29","Marshelle Edwards",0
"Fall 2017","2017-09-29","Mariana Lewis",0
"Fall 2017","2017-09-30","Shajee'a al-Amiri",2205
"Fall 2017","2017-09-30","Brittany Valdez",945
"Fall 2017","2017-09-30","Urja Chaudhry",1575
"Fall 2017","2017-09-30","Mariana Lewis",2205
"Fall 2017","2017-09-30","Nicole Tipton",315
"Fall 2017","2017-09-30","Marshelle Edwards",630
"Fall 2017","2017-09-30","Cinoi Slovonsky",1575
"Fall 2017","2017-09-30","Rhiannon Garcia",1575
"Fall 2017","2017-09-30","Kayla Mix",1890
"Fall 2017","2017-10-01","Shajee'a al-Amiri",0
"Fall 2017","2017-10-01","Brittany Valdez",0
"Fall 2017","2017-10-01","Urja Chaudhry",0
"Fall 2017","2017-10-01","Rhiannon Garcia",0
"Fall 2017","2017-10-01","Nicole Tipton",0
"Fall 2017","2017-10-01","Marshelle Edwards",0
"Fall 2017","2017-10-01","Cinoi Slovonsky",0
"Fall 2017","2017-10-01","Kayla Mix",0
"Fall 2017","2017-10-01","Mariana Lewis",0
"Fall 2017","2017-10-02","Brittany Valdez",840
"Fall 2017","2017-10-02","Urja Chaudhry",840
"Fall 2017","2017-10-02","Mariana Lewis",980
"Fall 2017","2017-10-02","Nicole Tipton",140
"Fall 2017","2017-10-02","Marshelle Edwards",840
"Fall 2017","2017-10-02","Cinoi Slovonsky",420
"Fall 2017","2017-10-02","Rhiannon Garcia",560
"Fall 2017","2017-10-02","Shajee'a al-Amiri",840
"Fall 2017","2017-10-02","Kayla Mix",700
"Fall 2017","2017-10-03","Kayla Mix",920
"Fall 2017","2017-10-03","Shajee'a al-Amiri",920
"Fall 2017","2017-10-03","Brittany Valdez",552
"Fall 2017","2017-10-03","Urja Chaudhry",184
"Fall 2017","2017-10-03","Nicole Tipton",184
"Fall 2017","2017-10-03","Marshelle Edwards",1104
"Fall 2017","2017-10-03","Cinoi Slovonsky",1104
"Fall 2017","2017-10-03","Rhiannon Garcia",552
"Fall 2017","2017-10-03","Mariana Lewis",1288
"Fall 2017","2017-10-04","Brittany Valdez",480
"Fall 2017","2017-10-04","Urja Chaudhry",480
"Fall 2017","2017-10-04","Mariana Lewis",360
"Fall 2017","2017-10-04","Shajee'a al-Amiri",480
"Fall 2017","2017-10-04","Nicole Tipton",720
"Fall 2017","2017-10-04","Marshelle Edwards",720
"Fall 2017","2017-10-04","Cinoi Slovonsky",600
"Fall 2017","2017-10-04","Rhiannon Garcia",480
"Fall 2017","2017-10-04","Kayla Mix",600
"Fall 2017","2017-10-05","Kayla Mix",1015
"Fall 2017","2017-10-05","Brittany Valdez",716
"Fall 2017","2017-10-05","Shajee'a al-Amiri",956
"Fall 2017","2017-10-05","Urja Chaudhry",897
"Fall 2017","2017-10-05","Nicole Tipton",956
"Fall 2017","2017-10-05","Marshelle Edwards",1375
"Fall 2017","2017-10-05","Rhiannon Garcia",657
"Fall 2017","2017-10-05","Mariana Lewis",836
"Fall 2017","2017-10-05","Cinoi Slovonsky",777
"Fall 2017","2017-10-06","Kayla Mix",615
"Fall 2017","2017-10-06","Urja Chaudhry",369
"Fall 2017","2017-10-06","Shajee'a al-Amiri",615
"Fall 2017","2017-10-06","Brittany Valdez",369
"Fall 2017","2017-10-06","Cinoi Slovonsky",369
"Fall 2017","2017-10-06","Marshelle Edwards",492
"Fall 2017","2017-10-06","Rhiannon Garcia",492
"Fall 2017","2017-10-06","Mariana Lewis",492
"Fall 2017","2017-10-06","Nicole Tipton",123
"Fall 2017","2017-10-07","Brittany Valdez",783
"Fall 2017","2017-10-07","Urja Chaudhry",1182
"Fall 2017","2017-10-07","Mariana Lewis",261
"Fall 2017","2017-10-07","Shajee'a al-Amiri",921
"Fall 2017","2017-10-07","Nicole Tipton",261
"Fall 2017","2017-10-07","Marshelle Edwards",906
"Fall 2017","2017-10-07","Cinoi Slovonsky",1044
"Fall 2017","2017-10-07","Rhiannon Garcia",1182
"Fall 2017","2017-10-07","Kayla Mix",1320
"Fall 2017","2017-10-08","Kayla Mix",0
"Fall 2017","2017-10-08","Shajee'a al-Amiri",0
"Fall 2017","2017-10-08","Brittany Valdez",0
"Fall 2017","2017-10-08","Urja Chaudhry",0
"Fall 2017","2017-10-08","Mariana Lewis",0
"Fall 2017","2017-10-08","Nicole Tipton",0
"Fall 2017","2017-10-08","Marshelle Edwards",0
"Fall 2017","2017-10-08","Rhiannon Garcia",0
"Fall 2017","2017-10-08","Cinoi Slovonsky",0
"Fall 2017","2017-10-09","Mariana Lewis",360
"Fall 2017","2017-10-09","Brittany Valdez",480
"Fall 2017","2017-10-09","Urja Chaudhry",360
"Fall 2017","2017-10-09","Kayla Mix",360
"Fall 2017","2017-10-09","Shajee'a al-Amiri",120
"Fall 2017","2017-10-09","Nicole Tipton",120
"Fall 2017","2017-10-09","Marshelle Edwards",600
"Fall 2017","2017-10-09","Cinoi Slovonsky",240
"Fall 2017","2017-10-09","Rhiannon Garcia",360
"Fall 2017","2017-10-10","Shajee'a al-Amiri",749
"Fall 2017","2017-10-10","Brittany Valdez",749
"Fall 2017","2017-10-10","Urja Chaudhry",642
"Fall 2017","2017-10-10","Cinoi Slovonsky",428
"Fall 2017","2017-10-10","Kayla Mix",428
"Fall 2017","2017-10-10","Rhiannon Garcia",428
"Fall 2017","2017-10-10","Mariana Lewis",107
"Fall 2017","2017-10-10","Marshelle Edwards",856
"Fall 2017","2017-10-10","Nicole Tipton",107
"Fall 2017","2017-10-11","Rhiannon Garcia",644
"Fall 2017","2017-10-11","Kayla Mix",854
"Fall 2017","2017-10-11","Shajee'a al-Amiri",693
"Fall 2017","2017-10-11","Urja Chaudhry",693
"Fall 2017","2017-10-11","Brittany Valdez",854
"Fall 2017","2017-10-11","Nicole Tipton",329
"Fall 2017","2017-10-11","Cinoi Slovonsky",588
"Fall 2017","2017-10-11","Mariana Lewis",693
"Fall 2017","2017-10-11","Marshelle Edwards",854
"Fall 2017","2017-10-12","Cinoi Slovonsky",396
"Fall 2017","2017-10-12","Urja Chaudhry",495
"Fall 2017","2017-10-12","Kayla Mix",495
"Fall 2017","2017-10-12","Mariana Lewis",594
"Fall 2017","2017-10-12","Marshelle Edwards",693
"Fall 2017","2017-10-12","Rhiannon Garcia",396
"Fall 2017","2017-10-12","Nicole Tipton",99
"Fall 2017","2017-10-12","Brittany Valdez",594
"Fall 2017","2017-10-12","Shajee'a al-Amiri",495
"Fall 2017","2017-10-13","Kayla Mix",535
"Fall 2017","2017-10-13","Shajee'a al-Amiri",535
"Fall 2017","2017-10-13","Brittany Valdez",749
"Fall 2017","2017-10-13","Urja Chaudhry",856
"Fall 2017","2017-10-13","Mariana Lewis",535
"Fall 2017","2017-10-13","Nicole Tipton",107
"Fall 2017","2017-10-13","Marshelle Edwards",856
"Fall 2017","2017-10-13","Cinoi Slovonsky",428
"Fall 2017","2017-10-13","Rhiannon Garcia",428
"Fall 2017","2017-10-14","Kayla Mix",1175
"Fall 2017","2017-10-14","Mariana Lewis",1175
"Fall 2017","2017-10-14","Shajee'a al-Amiri",1060
"Fall 2017","2017-10-14","Brittany Valdez",470
"Fall 2017","2017-10-14","Urja Chaudhry",715
"Fall 2017","2017-10-14","Rhiannon Garcia",1175
"Fall 2017","2017-10-14","Nicole Tipton",235
